hobby,type
American football,sport
Angling,sport
Archery,sport
Art competitions,sport
Athletics,sport
Australian football,sport
Badminton,sport
Ballooning,sport
Baseball,sport
Basketball,sport
Basque pelota,sport
Beach volleyball,sport
Biathlon,sport
Boules,sport
Bowling,sport
Boxing,sport
Budo,sport
Cannon shooting,sport
Canoeing,sport
Cricket,sport
Croquet,sport
Cycle polo,sport
Cycling,sport
Diving,sport
Equestrian,sport
Equestrian vaulting,sport
Fencing,sport
Field hockey,sport
Figure skating,sport
Fire fighting,sport
Football,sport
Gaelic football,sport
Gliding,sport
Glima,sport
Golf,sport
Gymnastics,sport
Handball,sport
Hurling,sport
Ice hockey,sport
Jeu de paume,sport
Judo,sport
Kaatsen,sport
Karate,sport
Kite flying,sport
Korfball,sport
La canne,sport
Lacrosse,sport
Life saving,sport
Longue paume,sport
Modern pentathlon,sport
Motorcycle racing,sport
Motor racing,sport
Offshore powerboat racing,sport
Pesäpallo,sport
Pigeon racing,sport
Plunge for distance,sport
Polo,sport
Rackets,sport
Roller hockey,sport
Roque,sport
Rowing,sport
Rugby sevens,sport
Rugby union,sport
Sailing,sport
Savate,sport
Shooting,sport
Skateboarding,sport
Skeleton,sport
Snowboarding,sport
Softball,sport
Swimming,sport
Synchronized swimming,sport
Table tennis,sport
Taekwondo,sport
Tennis,sport
Triathlon,sport
Tug of war,sport
Volleyball,sport
Water polo,sport
Water skiing,sport
Wax bullet,sport
Weightlifting,sport
Wheelchair racing,sport
Wrestling,sport
Alpine skiing,sport
Bandy,sport
Biathlon,sport
Bobsleigh,sport
Cross-country skiing,sport
Curling,sport
Disabled skiing,sport
Figure skating,sport
Freestyle skiing,sport
Ice hockey,sport
Luge,sport
Military patrol,sport
Nordic combined,sport
Short track speed skating,sport
Skeleton,sport
Skijoring,sport
Ski jumping,sport
Sled dog racing,sport
Snowboarding,sport
Speed skating,sport
Speed skiing,sport
Winter pentathlon,sport
Aircheck,hobby
Aircraft spotting,hobby
Airsoft,hobby
Amateur astronomy,hobby
Amateur film,hobby
Amateur journalism,hobby
Amateur radio,hobby
Amateur radio operator,hobby
Aquascaping,hobby
Audiophile,hobby
Backyard railroad,hobby
Banana boat,hobby
Battle of Grolle,hobby
Battle of Hastings reenactment,hobby
Battle of Waterloo reenactment,hobby
Bird feeding,hobby
Birdwatching,hobby
Blokus,hobby
Book collecting,hobby
Brickfilm,hobby
Bus spotting,hobby
Butterfly watching,hobby
Car tuning,hobby
CB radio in the United Kingdom,hobby
CB usage in the United States,hobby
Cinephilia,hobby
Citizens band radio,hobby
Citizens Band radio in India,hobby
Combat reenactment,hobby
Community of interest,hobby
Cosplay,hobby
Currency bill tracking,hobby
Digital Radio Mondiale,hobby
Do it yourself,hobby
Dumpster diving,hobby
DXing,hobby
East Anglia Medieval Fayre,hobby
Eglinton Tournament of 1839,hobby
Eglinton Trophy,hobby
Electronic kit,hobby
Festival of History,hobby
Field recording,hobby
Figure painting,hobby
Fimo,hobby
Fingerboard,hobby
Fort Bridger Rendezvous,hobby
Geocaching,hobby
Geohashing,hobby
GeoSpy,hobby
Ghost hunting,hobby
Gliding flight,hobby
Hacker culture,hobby
Hastings 2000,hobby
Hastings 2006,hobby
Heart of Europe Debating Tournament,hobby
Historical reenactment,hobby
Hitori,hobby
Homebrewing,hobby
Home movies,hobby
Insect collecting,hobby
Insect euthanasia,hobby
Jidai Matsuri,hobby
Kakuro,hobby
KDR 444,hobby
Kidult,hobby
Knapping,hobby
Landshut Wedding,hobby
Lapidary club,hobby
Letterboxing,hobby
Light Up,hobby
Locksport,hobby
LowFER,hobby
Magnet fishing,hobby
Medieval Market of Turku,hobby
Mine exploration,hobby
Moesgård Viking Moot,hobby
Monopoly,hobby
Munzee,hobby
Music session,hobby
MW DX,hobby
Oenophilia,hobby
Paper marbling,hobby
People watching,hobby
Pigeon keeping,hobby
Plamo,hobby
PMR446,hobby
Polymer clay,hobby
Port Huron Project,hobby
Procession of the Golden Tree,hobby
QSL card,hobby
Radio over IP,hobby
Railfan,hobby
Railway archaeology,hobby
Rapska fjera,hobby
Reading,hobby
Renaissance fair,hobby
Retrogaming,hobby
Roadgeek,hobby
Rubik's Cube,hobby
Salt dough,hobby
Satellite watching,hobby
Scale model,hobby
Scanner,hobby
Scoubidou,hobby
Scratch building,hobby
Shadowgraphy,hobby
Shortwave listening,hobby
Signature forgery,hobby
Sligo Wild Geese,hobby
Soaper,hobby
Spotter,hobby
Storm chasing,hobby
Stratego,hobby
Survival skills,hobby
Tewkesbury Medieval Festival,hobby
The Pilgrim Progress,hobby
Travel Bug,hobby
Treasure hunting,hobby
Tree climbing,hobby
UHF CB,hobby
Urban beekeeping,hobby
Urban exploration,hobby
Urban lumberjacking,hobby
Vehicle audio,hobby
Velology,hobby
Video game collecting,hobby
Video game console,hobby
Videophile,hobby
Vintage Computer Festival,hobby
Virtual airline,hobby
Wargaming,hobby
Waterfowl hunting,hobby
Wherigo,hobby
Wildlife Observation,hobby
Wildlife viewing,hobby
World Wide Knit in Public Day,hobby
