language,iso,iso3,speakers
Spanish,es,spa,568000000
English,en,eng,400000000
Hindustani,hi,hin,329000000
French,fr,fri,274000000
Russian,,,260000000
Malay,ms,msa,250000000
Portuguese,pt,por,250000000
Bengali,bn,ben,226000000
Japanese,ja,jpn,125000000
Persian,fa,fas,110000000
Punjabi,pa,pan,102000000
Swahili,sw,swa,100000000
Javanese,jv,jav,94000000
German,de,de,89000000
Italian,it,ita,85000000
Telugu,te,tel,85000000
Turkish,tr,tur,75000000
Vietnamese,vi,vie,75000000
Marathi,mr,mar,72900000
Hausa,ha,hau,70000000
Tamil,ta,tam,70000000
Polish,pl,pol,55000000
Gujarati,gu,guj,50300000
Filipino,fi,fil,45000000
Tagalog,tl,tgl,45000000
Ukrainian,uk,ukr,45000000
Sundanese,su,sun,42000000
Bhojpuri,bh,bho,40000000
Thai,th,tha,40000000
Awadhi,aw,awa,38000000
Odia,or,ori,36600000
Burmese,my,mya,33200000
Marwari,mw,mwr,30000000
Dutch,nl,nl,28000000
Yoruba,yo,yor,27500000
Uzbek,uz,uzb,27000000
Azerbaijani,az,aze,26000000
Lao,lo,lao,25000000
Nepali,ne,nep,25000000
Sindhi,sd,Sin,25000000
Uyghur,ug,uig,25000000
Afan Oromo,om,orm,24600000
Fula,ff,ful,24000000
Igbo,ig,ibo,24000000
Romanian,ro,ron,23700000
Malagasy,mg,mlg,18400000
Somali,so,som,16600000
Khmer,km,khm,15800000
Zulu,zu,zul,15700000
Sinhalese,si,sin,15600000
Assamese,as,asm,15400000
Kazakh,kk,kaz,15000000
Magadhi,ma,mag,14000000
Greek,el,el,13400000
Tsonga,ts,tso,13000000
Hungarian,hu,hun,12600000
Dari,,,12460000
Maithili,ma,mai,12200000
Armenian,,,12000000
Chewa,ny,non,11500000
Xhosa,xh,xho,11000000
Shona,sn,sna,10800000
Czech,cs,ces,10620000
Bambara,bm,bam,10000000
Swedish,sv,swe,9200000
Bulgarian,bg,bul,9000000
Serbian,sr,srp,8700000
Bagheli,,,8199999
Guarani,gu,gug,8000000
Sotho,st,sot,7900000
Tswana,tn,tsn,7700000
Balochi,ba,bal,7600000
Turkmen,tk,tuk,7560000
Konkani,ko,kok,7400000
Tigrinya,ti,tir,6915000
Kongo,kg,kon,6500000
Tatar,tt,tat,6500000
Ciluba,lu,non,6300000
Santali,sa,sat,6270000
Northern Thai,no,nod,6000000
Neapolitan,na,nap,5700000
Croatian,hr,hrv,5600000
Kashmiri,ks,kas,5580000
Danish,da,dan,5520000
Kituba,,,5400000
Finnish,fi,fin,5390000
Albanian,sq,sqi,5370000
Mongolian,mn,mon,5200000
Slovak,sk,slk,5190000
Catalan,ca,cat,5100000
Norwegian,no,no,5000000
Sicilian,sc,scn,4700000
Sepedi,ns,nso,4650000
Кyrgyz,ky,kir,4330000
Georgian,ka,kat,4320000
Brahui,br,brh,4220000
Kanuri,kr,kau,4200000
Dogri,do,Dog,4000000
Romani,ro,rom,4000000
Venetian,ve,vec,3850000
Lombard,lm,lmo,3600000
Ewe,ee,ewe,3590000
Bosnian,bs,bos,3500000
Belarusian,be,bel,3200000
Lithuanian,lt,lit,3000000
Aymara,ay,aym,2810000
Macedonian,mk,mkd,2500000
Slovene,sl,slv,2500000
Swazi,ss,ssw,2400000
Galician,gl,glg,2355000
K'iche',qu,quc,2330000
Fon,fo,fon,2200000
Soga,,,2122000
Soninke,sn,snk,2100000
Northern Ndebele,nd,nde,2000000
Latvian,lv,lav,1750000
Sena,,,1627000
Kabardian,kb,kbd,1600000
Piedmontese,pm,pms,1600000
Sango,sg,sag,1600000
Oshivambo,ku,kj,1520000
Riffian,ri,rif,1500000
Meitei,mn,mni,1485000
Chechen,ce,che,1394000
Limburgish,li,lim,1300000
Mandinka Md Khalid,mn,mnk,1300000
Venda,ve,ven,1290000
Bashkir,ba,bak,1220000
Kichwa,,,1209000
Chuvash,cv,chv,1080000
Estonian,et,est,1080000
Kabiye,kb,kbp,1004999
Edo,bi,bin,1000000
Sardinian,sc,srd,1000000
Kalanga,,,950000
Ripuarian,ks,ksh,900000
Mon,,,851000
Q'eqchi',ke,kek,800000
Yucatec,yu,yua,792000
Avar,av,ava,761960
Fur,fv,fvr,745000
Lozi,lo,loz,725000
Basque,eu,eus,715000
Comorian,,,713000
Picard,pc,pcd,700000
Welsh,cy,cym,700000
Nyoro,ny,nyo,667000
Lezgian,le,lez,655000
Friulian,fu,fur,600000
Walloon,wa,wln,600000
Gagauz,ga,gag,591920
Adyghe,ad,ady,585500
Karakalpak,ka,kaa,583410
Ossetian,os,oss,570000
Shina,,,537000
Maltese,mt,mlt,522000
Samoan,sm,smo,510000
Mari,ch,chm,509090
Ingush,in,inh,500000
Dargwa,da,dar,493000
Tooro,tt,ttj,490000
Crimean Tatar,cr,crh,480000
Frisian,fy,fry,467000
Tetum,te,tet,463500
Yakut,sa,sah,450000
Plautdietsch,pd,pdt,447360
Kumyk,ku,kum,446000
Subanon,,,400000
Erzya,my,myv,392941
Moksha,md,mdf,392941
Pennsylvania German,pd,pdc,350000
Dhivehi,dv,div,340000
Udmurt,ud,udm,340000
Fijian,fj,fij,339210
Icelandic,is,isl,331000
Karachay-Balkar,kr,krc,305000
Khoekhoe,,,300000
Khowar,kh,khw,289200
Tuvan,ty,tyv,283400
Buryat,bu,bua,265000
Aromanian,ru,rup,250000
Gascon,,,250000
Herero,hz,her,237000
Montenegrin,no,non,232600
Corsican,co,cos,231000
Komi,kv,kom,220000
Breton,br,bre,206000
Garifuna,ca,cab,190000
Lak,lb,lbe,152050
Latgalian,lt,ltg,150000
Māori,mi,mri,148700
Tabasaran,ta,tab,126900
Cree,cr,cre,117400
Gilbertese,gi,gil,116280
Abkhaz,ab,abk,112740
Asturian,as,ast,110000
Occitan,oc,oci,110000
Scots,sc,sco,110000
Kashubian,cs,csb,108000
Norman,nr,nrf,100000
Sedang,se,sed,97520
Tongan,to,ton,96300
Chamorro,ch,cha,94700
Nogai,no,nog,87100
Kwangali,kw,kwn,84000
Nambya,,,80000
Korean,ko,kor,77233
Irish,ga,gle,73804
Rusyn,ru,rue,70374
Tahitian,ty,tah,68260
Faroese,fo,fao,66150
Wakhi,wb,wbl,58000
Altai,al,alt,57400
Greenlandic,kl,kal,56200
Marshallese,mh,mah,55000
Aragonese,an,arg,54481
Abaza,ab,abq,47880
Gciriku,di,diu,36200
Karelian,kr,krl,35600
Mbukushu,mh,mhw,35000
Shuar,ji,jiv,35000
Ladin,ll,lld,31000
Gallo,,,28000
Sioux,da,dak,25000
Laz,lz,lzz,22000
Pannonian Rusyn,,,20000
Cherokee,ch,chr,11000
Wallisian,wl,wls,10400
North Frisian,fr,frr,10000
Tuvaluan,tv,tvl,10000
Kosraean,ko,kos,9000
Mopan,mo,mop,9000
Yapese,ya,yap,7400
Lower Sorbian,ds,dsb,6860
Nauruan,na,nau,6000
Chukchi,ck,ckt,5100
Tsoa,,,4100
Ulithian,ul,uli,3000
Rotuman,rt,rtm,2800
Slavey,de,den,2350
Niuean,ni,niu,2027
Hawaiian,ha,haw,2000
Inupiaq,ik,ipk,2000
Afar,aa,aar,1990
Woleaian,wo,woe,1600
Chipaya,ca,cap,1200
Lule Sami,sm,smj,1000
Saterland Frisian,st,stq,1000
